time (s),WL (V)
1.932E-9,-550.0E-3
1.941E-9,-550.0E-3
1.950E-9,-550.0E-3
1.959E-9,-550.0E-3
1.968E-9,-550.0E-3
1.977E-9,-550.0E-3
1.986E-9,-550.0E-3
1.995E-9,-550.0E-3
2.004E-9,-550.0E-3
2.013E-9,-550.0E-3
2.022E-9,-550.0E-3
2.031E-9,-550.0E-3
2.040E-9,-550.0E-3
2.049E-9,-550.0E-3
2.058E-9,-550.0E-3
2.067E-9,-550.0E-3
2.076E-9,-550.0E-3
2.085E-9,-550.0E-3
2.094E-9,-550.0E-3
2.100E-9,-550.0E-3
2.101E-9,-548.9E-3
2.102E-9,-546.7E-3
2.104E-9,-542.4E-3
2.109E-9,-533.7E-3
2.118E-9,-516.3E-3
2.131E-9,-493.8E-3
2.148E-9,-462.2E-3
2.155E-9,-450.0E-3
2.158E-9,-443.9E-3
2.165E-9,-431.7E-3
2.178E-9,-407.3E-3
2.189E-9,-387.0E-3
2.205E-9,-358.4E-3
2.229E-9,-314.2E-3
2.266E-9,-245.6E-3
2.316E-9,-154.0E-3
2.344E-9,-103.5E-3
2.369E-9,-56.69E-3
2.393E-9,-12.01E-3
2.400E-9,0.000
2.400E-9,0.000
2.400E-9,0.000
2.400E-9,0.000
2.401E-9,0.000
2.402E-9,0.000
2.403E-9,0.000
2.406E-9,0.000
2.413E-9,0.000
2.426E-9,0.000
2.452E-9,0.000
2.500E-9,0.000
